at,content,repliedAt,replyContent,reviewCreatedVersion,reviewId,score,thumbsUpCount,userImage,userName,sentiment,errorRelated
2022-03-06 12:35:26,excellent,,,2022.2.1.1,gp:AOqpTOFMdlyetMnJqXM06TeVh-MhEPPXpw_UUlBT7tJj_860pUp0x-PsPyayaOxq6xVeuHyLYHjXeF1a9EA61Q,5,0,https://play-lh.googleusercontent.com/a-/AOh14GjOw5Wwwxl3Ohss5Z2KLOp6RcpXeKfo4ImVwLtXtQ,Hassan Shehab,0,0
2022-03-06 12:32:58,your app is bot compatible with bigger fonts for elder people .. sign in button cannot be seen .. please fix !,,,2021.12.2,gp:AOqpTOEr6k8ftjluY8LQaRdpVO-R-S6xkBpGbhW-_bVH-TF5Mq4NSs9IYSwoq6i3nHdPDYKfrVFuGLV06qM_SA,1,0,https://play-lh.googleusercontent.com/a/AATXAJzwHEHYoU1lm_4hiNlc5AfHEQN5cTQx43GWP0qc=mo,Tony Hanna,1,1
2022-03-06 12:32:55,very bad service and also the customer service does not understand the system 👎👎👎,,,2022.2.1.1,gp:AOqpTOEa1QXOHCdDg5Ts2aT4bz2iKlGVvPVetfNNArHI6Mtfkv4bohjyjn1GepFM1U1_9ZGZirybe4dL_jafVg,1,0,https://play-lh.googleusercontent.com/a-/AOh14GidTABKHaF7hRqWsq1XBtC3l4J9iHJG_hA7AbnE6g,Hesham el Anwar,1,0
2022-03-06 12:25:14,very bad,2022-03-06 12:32:37,What is the problem that you face ?,2022.2.1.1,gp:AOqpTOEY2n7WVbHw28WIQax30WvtO5vOpAmAS-rNkYodk5zJbWLtj3qQYl7nG9v2GEDqqPzHNW4ZwFv2Vn8pAA,1,0,https://play-lh.googleusercontent.com/a-/AOh14GjwfXwGEr8p7y9dC30DD17qqSUo39H5a3kaOGU8Tg,ahmed kedwany,1,0
2022-03-06 12:20:45,very good app,,,2022.2.1.1,gp:AOqpTOGAcWxqmgUWZRiVRnap6dgsyhlAoy-h_YCD2VHuKnwSc7-TwU4IdOMQvjt08IPks0ELAawLtIfUOLjHyA,5,0,https://play-lh.googleusercontent.com/a-/AOh14GiRI9rxhQRwjQR9fCCGUGNRqd1tG9oww1XFvUNNkQ,khaled mohamed,0,0
2022-03-06 11:58:57,excellent 👍,,,2022.2.1.1,gp:AOqpTOE0YvjSUxMonKCgUAcOeWsZmY0omjDicfhgMhDgyCAyBJeDpF3oIPoO0m_nNBQstv_7JeSbdcal_T1h6w,5,0,https://play-lh.googleusercontent.com/a-/AOh14Ghbq6hHE1UpcztbIhXKH4__qwjAT6zyL8t2ESqKuw,Alaa Sobhi,0,0
2022-03-06 11:51:06,good app .,,,2022.2.1.1,gp:AOqpTOGLJ0wq_COWKnm5oZG1kssdHttjh8bz2KiKx3xYStj1NoELu5Szm4b4tJP9dSOhLkWszHuZ52Dfxy7_rg,5,0,https://play-lh.googleusercontent.com/a/AATXAJwf1VCKdFogaJLDKlGKbwcDMF3qncngz9xJWxvd=mo,Ramy New Age,0,0
2022-03-06 11:43:49,it's good,,,2021.2.4,gp:AOqpTOGrGl1FNtqPQGEq5546kzePUT8I0SfG21cf94-NYEvojAQK6YYEAgWOdcXe00XtdETjZ9BXqHBZ3kfnWg,5,0,https://play-lh.googleusercontent.com/a/AATXAJwK5ZX_HeEb6GDJR8pGQoMIPSGV5pG5oN_BEss=mo,Omar Aljayar,0,0
2022-02-28 06:00:28,g..a,,,2022.1.2.3,gp:AOqpTOEyzAdigCCuuPd6NGtvDr3HVTZ4QRBpDMRbN1kA5nx1x_RZmqSpKV02RLonNSqUxxFpWxfux6T3vxSz8g,5,0,https://play-lh.googleusercontent.com/a-/AOh14Gjf7Ce0GYFCGpwYtsVq9Y3wl5B6-rNEM-R0uV1VRQ,Ahmed Evan,2,0
2022-02-28 05:16:54,excellent app,,,2022.1.2.3,gp:AOqpTOFzynCv8nahhbW4lOgldK7yKaIwJNivPeV0w51gAI9nF-EVNN8uEJ4X2NRFZoks2hRoC-h69GcesjMq7w,5,0,https://play-lh.googleusercontent.com/a-/AOh14Gj28FPTVTwdBsNxan1UJhnE-x6vnbC4OszeLje9DA,Marwa Ayoub,0,0
2022-02-28 02:45:48,nice,,,2022.1.2.3,gp:AOqpTOHtN78Ea08svXLbErXo-z1In8nC0X9Ohpzj7h5ix6Us9PveQJtQ3rXD7Lp_GwlTXf8ju1QythVnnNcWig,5,0,https://play-lh.googleusercontent.com/a/AATXAJxSqW7EvG2WXO6cQv-CAUyNWv-n7oCxKeFqh67_=mo,Hanaa Moustafa,0,0
2022-02-28 02:40:10,bad bad bad,,,,gp:AOqpTOGHU6cy_8rKo7rspp-SQMVpwGLb-2QCV1DImhvxVmRTKdFUOu0Ng3PI36O_d-wBdZYZH3fa_Zyy8i1WGg,1,0,https://play-lh.googleusercontent.com/a/AATXAJxRwg0YnWP3L60GycfzbZp1gBYiEFz6_nPoiqSr=mo,Youssef Hadeda,1,0
2022-02-28 02:09:54,really good internet and best prices!,,,2022.1.2.1,gp:AOqpTOGh2fhd5GkOpvcChhL72HShuE1mmHTZOu6z3lsK1FgUtDSlo1dwRUZb0LBIBwq5-zrkqNgrSICH_t1Nqg,5,0,https://play-lh.googleusercontent.com/a/AATXAJx0FwF6wh9r1uwaptlR2PKyoSpCmYgBoyPFqrNS=mo,Rehab Gendy,3,0
2022-02-28 01:21:01,good,,,2022.1.2.3,gp:AOqpTOHstYc9tytMyaCLMxP-7tciVrx0PLgv1HE0yecNej81umkc90u5mmX6AWykWXXW_yD6JV1H2Nqr0elmkA,5,0,https://play-lh.googleusercontent.com/a/AATXAJw6aKQ96AssF1trLaJEV_ihsdN8dsbRL14V3Bs=mo,Dr Mahmoud Attia,0,0
2022-02-28 00:33:01,excellent!,,,,gp:AOqpTOEEdK9bWlHzqQ8-hrUOjErtRaQjLXyVxfDbISaRehs1GXa9KFY4zPjd48vJgamjCdgsGcPhJB1VH5IKiw,5,0,https://play-lh.googleusercontent.com/a/AATXAJzuYzd2Z9NLfMOc_0nN2pydDuml8YNpFEdV0FNX=mo,DR YOUSSEF,0,0
2022-02-28 00:32:46,saving time &easy for any one to use,,,2022.1.2.3,gp:AOqpTOGFNKcm3bMc8MxU0F0HdkvLHzhBmKmEKgxjhLjfJZwaC8qS10ULxYMqfX0afNjCTp3VHwwQfE6Hg_EGSw,5,0,https://play-lh.googleusercontent.com/a/AATXAJwkXOEj_LXjd7QrjwOCoyh8AolVyiknhQYIgb_u=mo,Walid Sobhi,0,0
2022-02-28 00:32:20,good 👍 app ☺️,,,2022.1.2.3,gp:AOqpTOElztKa2ECTjyq2Q4mwRIMBadeTHcJm498ED1uQE_nrWRybERjYU4pZnOT9rpjfOepQaF_MoKDNhWUDbg,4,0,https://play-lh.googleusercontent.com/a-/AOh14GgSQJtqHZ6RlqRc-05zHH1Lfo_SqtNy5ISgdQTC,ahmed abdelhamid,0,0
2022-02-28 00:24:23,data not always up to date,2021-12-18 00:57:48,"You can be sure to download the latest App update from this link http://vf.recover.me and if you still face the same problem please send to us through our Facebook page messages https://www.messenger.com/t/Vodafone.Egypt We can help you better
",2022.1.2.3,gp:AOqpTOFCTPKV1sLGKEPQPUuYmaWOO0nXE7iMXXQkLQ79Rs8O6akozpSj-b8plgQRuRDoe9M-Q_lVJt-mdYQscA,4,0,https://play-lh.googleusercontent.com/a/AATXAJyW4DM3DfVK5g8dCvhqWZDWfNtr_4R22WHJZUk=mo,Shoombeh 114,1,1
2022-02-27 23:33:41,thank you. vodafone's is good.,,,2022.1.2.3,gp:AOqpTOHmFul39VwBcib7GyTq0vTZyo-50xzoFJ-7K2XplhPxDa-ySGe_H41lITXaZ_H3tvqi4cgfvn0Cc-Q8XQ,5,0,https://play-lh.googleusercontent.com/a/AATXAJzMCEYLmzLc6B9_HrNseMIwLRsilkDqzhOeXFe7=mo,Nagla Abdelrazik,0,0
2022-02-27 22:20:34,"that's good app that help you to organize you sim card that is useful , i hope it have a more items that make it perfect app",,,2022.1.2.3,gp:AOqpTOFt-YZ0YWigFs0mouE6YkUP2TGkEKmvV-xlOdu2aw12OLB21JfPy5saJ_8BR-tJ5p2Sf6GRS7ePvMpgTw,4,0,https://play-lh.googleusercontent.com/a-/AOh14Gh6V1uJwcQ8yh0YNATBW3_IhXlS8ODL8sgJoaKe,Kareem Mohamed,0,0
2022-02-27 22:04:08,not bad,,,,gp:AOqpTOHjkF3C7v9jzdPg60FWKU4qLa8pwpLpGWWRDCP1rMsXT_tVzkjCwfK_DWuiIu2za2mPNwLcuO6E3wny4w,3,0,https://play-lh.googleusercontent.com/a/AATXAJyAaRJeh_SGDp7yYV8Offt-ZtaEUjetgwm8icQ4=mo,Abdo Hussien,2,0
2022-02-27 19:23:21,i can't login my account this app is pad,,,2022.1.2.3,gp:AOqpTOES7nh_Y6ElqypFqdLsxwiEgicVKel025xKHAZK6_5FQw_1Ta6_8oZFFNLCF85FvzsmDC6DcfzEhySkjw,1,0,https://play-lh.googleusercontent.com/a-/AOh14GgaDfylN2YLUhkrHsK5IQV79ZNsWf4b88A-yYnrzdg,Mohamed Abo Malak,1,1
2022-02-27 18:55:56,bad app dsl information dosent appears every time,2022-02-27 19:24:56,"""Hello there, we're sorry to hear about your experience. Could you please chat with us through this link :https://web.vodafone.com.eg, or contact us on our Facebook page through: https://www.messenger.com/t/Vodafone.Egypt. We'll be more than happy to assist regarding your issue.
""
",2022.1.2.3,gp:AOqpTOETc_pwgFwFPm1itDerUJkVU6Y9AAg_pFGJkpIU4AJNNsEiYicn0FYZdJfCYGd9efWLip8C3b7HMr_hiw,1,0,https://play-lh.googleusercontent.com/a/AATXAJxb74oD3AKJargUdRMPmhQr8fARXsax0syIL8hG=mo,Mohamed Abdallah,1,1
2022-02-27 18:37:26,"can not loginto my account , uninstall and installed for 3 times, customer service can not help",2022-02-27 18:54:50,"You can be sure to download the latest App update from this link http://vf.recover.me and if you still face the same problem please send to us through our Facebook page messages https://www.messenger.com/t/Vodafone.Egypt We can help you better
",2019.11.2,gp:AOqpTOHuSVVgUr9b2OYKEFmKozZuHsZq0Mkmqfl1Zx1WMa6BbdPTQ88vKimKn1npAs2wk464vUcsWNc2rzCdGA,1,0,https://play-lh.googleusercontent.com/a-/AOh14Gjn-Q1LaogjCrjSODzYBwjgkCbzyFj2EFXUUgKA,maha eltemamy,1,1
2022-02-27 18:16:15,a lot of problems using app.. unable to recharge or change bundle.. very bad,2022-02-27 18:55:19,"You can be sure to download the latest App update from this link http://vf.recover.me and if you still face the same problem please send to us through our Facebook page messages https://www.messenger.com/t/Vodafone.Egypt We can help you better
",2022.1.2.3,gp:AOqpTOFEE_w6iMo0Lp1ZS64gNFsGt9aduMPT2OIbBKQ-rlwRoF7sCGWYx4vCKe8nfLiv4zldxrMtJcw6NLP99g,1,0,https://play-lh.googleusercontent.com/a-/AOh14GgN6NkUtgVgWx_Dp6TfLeWqF41_SSQFZ61pFbBGCg,Mahmoud SAWY,1,1
2022-02-27 17:14:14,"the app is very slow,has amulfunction",2022-02-27 17:27:05,"""Hello there, we're sorry to hear about your experience. Could you please chat with us through this link :https://web.vodafone.com.eg, or contact us on our Facebook page through: https://www.messenger.com/t/Vodafone.Egypt. We'll be more than happy to assist regarding your issue.
""
",2022.1.2.3,gp:AOqpTOGoMOfCVA33u5UwoLvZnlL_FCyrU7S0pkuc-VgyRaRuxxzgx7mFfQh2rrCHVHeWsfp49SvqeXXA5VrcsQ,1,0,https://play-lh.googleusercontent.com/a-/AOh14Gj7sbLcfgkwDimBZa7Ax7_XTS6-4lyCKX_BKYFK,ahmed hagag,1,1
2022-02-27 16:47:15,good so good,,,2022.1.2.3,gp:AOqpTOGGAh0cyOb36lwC8TjKcSPNmU-JId7xjiK3_wJYEtKK4-yWerBSz11s1KD0992ySdoFMriEpEQz5fO8BA,5,0,https://play-lh.googleusercontent.com/a-/AOh14Gjz0-3fQnCnLZQwdpWeqiEgcetV-AsimJu_eLLG7A,Itzz Adham,0,0
2022-02-27 16:38:25,helpful,,,2022.1.2.3,gp:AOqpTOGfhpLPIlwR1BmIgQ-a-wh_31trA9m-sa72qraByO6Rsqssu7ta2g_Gbun8DBBvxgudy0U1KK2YbDvZWQ,5,0,https://play-lh.googleusercontent.com/a-/AOh14GgMHONYsgtdRlfjsvVt6vuuTwWhlWPEqd5W11GsZQ,Mustafa Jaguar,0,0
2022-02-27 15:59:02,the dark situation lacks the rest of the eye,,,2021.12.2,gp:AOqpTOF6bNeiKgQL89JfZ3RuotfrRfV3gk2foawGHHGrDYmNnRnzVXCtiUYHGYRXAPIXtYa2nCBh_OMR45bIBg,4,0,https://play-lh.googleusercontent.com/a/AATXAJwliWo9goFuWWa4PDwxtm6It7t7pTRvrOdq7DpL=mo,master of fancy UwU,1,1
2022-02-27 15:24:35,it's very very very very bad 😔,2022-02-27 15:38:16,"""Hello there, we're sorry to hear about your experience. Could you please chat with us through this link :https://web.vodafone.com.eg, or contact us on our Facebook page through: https://www.messenger.com/t/Vodafone.Egypt. We'll be more than happy to assist regarding your issue.
",,gp:AOqpTOGiSAuT8r-_0cWDkTi1OcgNF-lj0CrD8_y-MAns_CH_lCxbox7PXKdq3XsfhxRntlNx1Dlgi1MXZStmTg,1,0,https://play-lh.googleusercontent.com/a-/AOh14GigqvS6dUEapKPzY_fytK7CYefAJlvv6VhtQmb0,ḀḀᏖEꜰ ᏖḀᎷEŔ,1,0
